2025/05/01 (05:41:35) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:41:43) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:41:43) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:41:43) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:41:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:41:53) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:41:53) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:41:53) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:41:53) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:42:09) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:42:09) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:42:09) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:42:09) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:42:09) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:42:15) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:42:15) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:42:15) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:42:15) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:42:15) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:42:23) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:42:23) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:42:23) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:42:23) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:42:23) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:42:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:42:31) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:42:31) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:42:31) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:42:31) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:42:39) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:42:39) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:42:39) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:42:39) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:42:39) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:42:55) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:42:55) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:42:55) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:42:55) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:42:55) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:43:01) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:43:01) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:43:01) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:43:01) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:43:01) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:43:09) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:43:09) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:43:09) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:43:09) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:43:09) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:43:17) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:43:17) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:43:17) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:43:17) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:43:17) | WARNING: ROCm SMI: Failed to get GPU temperature
